Model,Accuracy,Precision,Recall,F1
deberta-v3-base,0.5,0.5,1.0,0.6666666666666666
distilbert-base-uncased,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693
distilroberta-base,0.675,1.0,0.35,0.5185185185185185
flan-t5-base,0.6833333333333333,0.6410256410256411,0.8333333333333334,0.7246376811594203
flan-t5-large,0.7083333333333334,0.8378378378378378,0.5166666666666667,0.6391752577319587
flan-t5-small,0.5916666666666667,0.5679012345679012,0.7666666666666667,0.6524822695035462
gemma-2-9b-it,0.725,0.6753246753246753,0.8666666666666667,0.7591240875912408
gemma-3-270m,0.65,0.6551724137931034,0.6333333333333333,0.6440677966101694
gemma-3-4b-it,0.6833333333333333,0.6447368421052632,0.8166666666666667,0.7205882352941176
gpt-neo-2.7B,0.675,0.6779661016949152,0.6666666666666666,0.6722689075630253
Llama-3.1-8B-Instruct,0.65,0.6153846153846154,0.8,0.6956521739130435
Llama-3.2-1B-Instruct,0.675,0.7837837837837838,0.4833333333333333,0.5979381443298969
Llama-3.2-3B-Instruct,0.65,0.65,0.65,0.65
Mistral-7B-Instruct-v0.2,0.7083333333333334,0.6923076923076923,0.75,0.72
Qwen2-Audio-7B-Instruct,0.7666666666666667,0.7105263157894737,0.9,0.7941176470588235
Qwen2-Audio-7B,0.775,0.7704918032786885,0.7833333333333333,0.7768595041322314
t5-base,0.65,0.5978260869565217,0.9166666666666666,0.7236842105263158
t5-large,0.7583333333333333,0.918918918918919,0.5666666666666667,0.7010309278350515
t5-small,0.5,0.5,1.0,0.6666666666666666
t5gemma-b-b-ul2,0.5,0.5,1.0,0.6666666666666666
t5gemma-s-s-prefixlm,0.575,0.550561797752809,0.8166666666666667,0.6577181208053692
